emotion,essay,Unnamed: 2
guilt,broke partner wanted friend lover reacted violently felt guilty made desperately unhappy,
joy,made dinner friends appreciated much,
fear,nearly knocked cycling,
anger,father argument help enough home,
disgust,intercourse someone realized done wrong disgusted,
guilt,said nasty things mean friend,
joy,intercourse,
fear,disappointment friend,
anger,quarrelled younger brother,
sadness,woke nightmare,
disgust,helping older people toilet,
guilt,squeezed puppy door,
joy,notified accepted psychology student,
fear,motor failure boat outside gottenburg heavy seas wind strong could steer boat drifted towards rocks succeed attracting attention passerby hours elapsed,
anger,lady live bothered clean went holiday live collective,
sadness,heard good friend committed suicide,
disgust,present found shopkeeper dead shop shot shotgun close range,
shame,remember last felf ashamed usually feel ashamed,
guilt,mother accused visiting enough hospital eye operation,
joy,made debut ullevi ifk gottenburg got good write paper,
fear,years old woke one night found alone home mother gone buy cigarattes machine,
sadness,found failed pass exams term one point fact exactly thing happened last term help,
disgust,touring asia present football team saw old europeans young asiatic prostitutes,
joy,evening class teacher got positive feedback atmosphere good kind relaxed understanding exists,
fear,mischieviously ringing chemists tradeentrance doorbell getting caught,
anger,sight man ran amok fighting dance,
sadness,work,
disgust,mouth full bun drank directly packet milk turned weeks old completely separated took milk seep bun,
guilt,boy shot dead squirrel,
joy,accepted supervisor student teacher notification came post,
fear,involved car accident last november first fall snow lost control car spun round landed opposite side road hard shoulder stopped pole top bank sloping stream,
anger,job appointments committee headmaster charge explained male teacher suitable particular post years service male teacher taken consideration could given less attractive job things gone way headmaster wanted,
sadness,colleagues year old daughter seriously ill cancer year live heard weeks ago,
joy,close friend met station middle night came back long tiring journey,
fear,quarreled boyfriend threatened leave,
anger,someone didnt show meeting spite agreed come,
sadness,understood marriage falling apart decided legally separated,
disgust,antipornography meeting samples films magazines shown,
shame,comments children alcoholic father,
guilt,failed help th march arrangements womens day although previously promised take part work,
joy,able buy new car lots problems,
fear,car accident woke heap stones,
anger,tried put tent years ago teased hindered cousin,
sadness,grandfather died,
shame,hit dog car didnt stop,
guilt,car accident let year old incompetent parson take wheel feel guilty happened even though suffered worst injuries,
joy,admitted certain school student,
fear,father chronic desease autumn strong fit seizure,
anger,drunken friend mine beating another friend also drunk,
sadness,didnt get certain job lillehammer wanted much,
disgust,boss job failed keep promise something knew extremely important,
shame,exam questions specific knowledge asked,
guilt,hit little sisiter head stone fighting,
joy,father managed begin new life divorce mother resulting new little sister,
